UID,title,authors,abstract,pdf_url,date1,time1,date2,time2,room_letter1,room_letter2,room,cluster,position,cluster_name,gather_town_link
DEMO-284,Exploring the Efficacy of Generic Drugs in Treating Cancer,Ioana Baldini|Mariana Bernagozzi|Sulbha Aggarwal|Mihaela Bornea|Saksham Chawla|Joppe Geluykens|Dmitriy A. Katz-Rogozhnikov|Pratik Mukherjee|Smruthi Ramesh|Sara Rosenthal|Jagrati Sharma|Kush R. Varshney|Laura B. Kleinman|Pradeep Mangalath|Catherine Del Vecchio Fitz,"Thousands of scientific publications discuss evidence on the efficacy of non-cancer generic drugs being tested for cancer. However, trying to manually identify and extract such evidence is intractable at scale. We introduce a natural language processing pipeline to automate the identification of relevant studies and facilitate the extraction of therapeutic associations between generic drugs and cancers from PubMed abstracts. We annotate datasets of drug-cancer evidence and use them to train models to identify and characterize such evidence at scale. To make this evidence readily consumable, we incorporate the results of the models in a web application that allows users to browse documents and their extracted evidence. Users can provide feedback on the quality of the evidence extracted by our models. This feedback is used to improve our datasets and the corresponding models in a continuous integration system. We describe the natural language processing pipeline in our application and the steps required to deploy services based on the machine learning models.",https://www.aaai.org/AAAI21Papers/DEMO-284.BaldiniI.pdf,5-Feb,,,,Z,,DEMO-D2-D,D,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-284
DEMO-298,SkeletonVis: Interactive Visualization for Understanding Adversarial Attacks on Human Action Recognition Models,Haekyu Park|Zijie J. Wang|Nilaksh Das|Anindya S. Paul|Pruthvi Perumalla|Zhiyan Zhou|Duen Horng Chau,"Skeleton-based human action recognition technologies are increasingly used in video-based applications, such as home robotics, healthcare on the aging population, and surveillance. However, such models are vulnerable to adversarial attacks, raising serious concerns for their use in safety-critical applications. To develop an effective defense against attacks, it is essential to understand how such attacks mislead the pose detection models into making incorrect predictions. We present SkeletonVis, the first interactive system that visualizes how the attacks work on the models to enhance human understanding of attacks.",https://www.aaai.org/AAAI21Papers/DEMO-298.ParkH.pdf,6-Feb,,,,Z,,DEMO-D3-E,E,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-298
DEMO-313,AutoText: An End-to-End AutoAI Framework for Text,Arunima Chaudhary|Alayt Issak|Kiran Kate|Yannis Katsis|Abel Valente|Dakuo Wang|Alexandre Evfimievski|Sairam Gurajada|Ban Kawas|Cristiano Malossi|Lucian Popa|Tejaswini Pedapati|Horst Samulowitz|Martin Wistuba|Yunyao Li,"Building models for natural language processing (NLP) tasks remains a daunting task for many, requiring significant technical expertise, efforts, and resources. In this demonstration, we present AutoText, an end-to-end AutoAI framework for text, to lower the barrier of entry in building NLP models. AutoText combines state-of-the-art AutoAI optimization techniques and learning algorithms for NLP tasks into a single extensible framework. Through its simple, yet powerful UI, non-AI experts (e.g., domain experts) can quickly generate performant NLP models with support to both control (e.g., via specifying constraints) and understand learned models.",https://www.aaai.org/AAAI21Papers/DEMO-313.ChaudharyA.pdf,4-Feb,,,,Z,,DEMO-D1-D,D,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-313
DEMO-319,Demonstration of the EMPATHIC Framework for Task Learning from Implicit Human Feedback,Yuchen Cui|Qiping Zhang|Sahil Jain|Alessandro Allievi|Peter Stone|Scott Niekum|W. Bradley Knox,"Reactions such as gestures, facial expressions, and vocalizations are an abundant, naturally occurring channel of information that humans provide during interactions. An agent could leverage an understanding of such implicit human feedback to improve its task performance at no cost to the human. This approach contrasts with common agent teaching methods based on demonstrations, critiques, or other guidance that need to be attentively and intentionally provided. In this work, we demonstrate a novel data-driven framework for learning from implicit human feedback, EMPATHIC. This two-stage method onsists of (1) mapping implicit human feedback to relevant task statistics such as reward, optimality, and advantage; and (2) using such a mapping to learn a task.  We instantiate the first stage and three second-stage evaluations of the learned mapping. To do so, we collect a dataset of human facial reactions while participants observe an agent execute a sub-optimal policy for a prescribed training task. We train a deep neural network on this data and demonstrate its ability to (1) infer relative reward ranking of events in the training task from prerecorded human facial reactions; (2) improve the policy of an agent in the training task using live human facial reactions; and (3) transfer to a novel domain in which it evaluates robot manipulation trajectories. In the video, we focus on demonstrating the online learning capability of our instantiation of EMPATHIC.",https://www.aaai.org/AAAI21Papers/DEMO-319.CuiY.pdf,5-Feb,,,,Z,,DEMO-D2-E,E,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-319
DEMO-321,A Compression-Compilation Co-Design Framework Towards Real-Time Object Detection on Mobile Devices,Yuxuan Cai|Geng Yuan|Hongjia Li|Wei Niu|Yanyu Li|Xulong Tang|Bin Ren|Yanzhi Wang,"The rapid development and wide utilization of object detection techniques have aroused requirements for both accuracy and speed of object detectors. In this work, we propose a compression-compilation co-design framework to achieve real-time YOLOv4 inference on mobile devices. We propose a novel fine-grained structured pruning, which maintain high accuracy while achieving high hardware parallelism. Our pruned YOLOv4 achieves 48.9 mAP and 17 FPS inference speed on an off-the-shelf Samsung Galaxy S20 smartphone, which is 5.5x faster than the original state-of-the-art detector YOLOv4.",https://www.aaai.org/AAAI21Papers/DEMO-321.CaiY.pdf,6-Feb,,,,Z,,DEMO-D3-F,F,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-321
DEMO-324,The Active Sensing Testbed,Lee Stearns|Neil Fendley|Ashley J. Llorens,"The Active Sensing Testbed (AST) is a novel framework for research in machine perception and world-view rea-soning. The AST supports exploratory development of perception systems that can build internal models of the world by combining multi-view and multi-modal analyt-ics, utilize these models to form hypotheses about a sce-ne, and potentially take action to fill in gaps in knowledge or make predictions about future world states. As a modular software framework, the AST is in-tended to lower the barrier to entry for researchers and developers in applying state-of-the-art computer vision techniques to real-world problems.",https://www.aaai.org/AAAI21Papers/DEMO-324.StearnsL.pdf,5-Feb,,,,Z,,DEMO-D2-F,F,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-324
DEMO-336,ITRIX - An AI Enabled Solution for Orchestration of Recovery Instructions,Wanita Sherchan|Garfield Vaughn|Shaila Pervin|Bryan Barone,This paper presents ITRIX (IT Recovery Instructions eXtraction)- a solution that automates the complex manual process of creating executable recovery plans from textual documents describing IT environment disaster recovery procedure. The solution applies natural language processing and deep learning to identify textual content that contain recovery instructions and information relevant to disaster recovery. This enables rapid creation and review of recovery plans resulting in 80% reduction in time taken to generate them.,https://www.aaai.org/AAAI21Papers/DEMO-336.SherchanW.pdf,6-Feb,,,,Z,,DEMO-D3-A,A,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-336
DEMO-338,Dialog Router: Automated Dialog Transition via Multi-Task Learning,Ziming Huang|Zhuoxuan Jiang|Hao Chen|Xue Han|Yabin Dang,"Dialog Router is a general paradigm for human-bot symbiosis dialog systems to provide friendly customer care service. It is equipped with a multi-task learning model to automatically capture the underlying correlation between multiple related tasks, i.e. dialog classification and regression, and greatly reduce human labor work for system customization, which improves the accuracy of dialog transition. In addition, for learning the multi-task model, the training data and labels are easy to collect from human-to-human historical dialog logs, and the Dialog Router can be easily integrated into the majority of existing dialog systems by calling general APIs. We conduct experiments on real-world datasets for dialog classification and regression. The results show that our model achieves improvements on both tasks, which benefits the dialog transition application. The demo illustrates our method’s effectiveness in a real customer care service.",https://www.aaai.org/AAAI21Papers/DEMO-338.HuangZ.pdf,6-Feb,,,,Z,,DEMO-D3-B,B,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-338
DEMO-344,Accelerating Data Discovery with an Ontology-Driven Tool for an Enterprise-Scale Data Lake Environment,Satyajeet Raje|Karina Kervin|Nergal Issaie|Madhu Channapatna,"A large overhead in the analytics process is the time required to find relevant data. We present an ontology-driven data discovery application, implemented over IBM’s Cognitive Enterprise Data Platform (CEDP). CEDP contains a large collection of heterogeneous data assets from enterprise-wide data sources. The application accelerates the time required for data consumers to search and find data relevant for their analytics applications.",https://www.aaai.org/AAAI21Papers/DEMO-344.RajeS.pdf,6-Feb,,,,Z,,DEMO-D3-C,C,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-344
DEMO-355,ACAT-G: An Interactive Learning Framework for Assisted Response Generation,Xueyuan Lu|Saurav Sahay|Zhou Yu|Lama Nachman,"In this paper, we introduce ACAT-G, an interactive dialogue learning framework that incorporates constant human feedback into fine-tuning language models in order to assist conditioned dialog generation. The system takes in a limited amount of input from a human and generates personalized response corresponding to the context of the conversation within natural dialog time-frame.  By combining inspirations from online learning, reinforcement learning, and large scale language models, we expect this project to provide a foundation for human-in-the-loop conditional dialog generation tasks.",https://www.aaai.org/AAAI21Papers/DEMO-355.LuX.pdf,4-Feb,,,,Z,,DEMO-D1-E,E,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-355
DEMO-363,VEGA: A Virtual Environment for Exploring Gender Bias vs. Accuracy Trade-Offs in AI Translation Services,Mariana Bernagozzi|Biplav Srivastava|Francesca Rossi|Sheema Usmani,"Machine translation services are a very popular class of Artificial Intelligence (AI) services nowadays but public's trust in these services is not guaranteed since they have been shown to have issues like bias. In this work, we focus on the behavior of machine translators with respect to gender bias as well as their accuracy. We have created the first-of-its-kind virtual environment, called VEGA, where the user can interactively explore translation services and compare their trust ratings using different visuals.",https://www.aaai.org/AAAI21Papers/DEMO-363.BernagozziM.pdf,6-Feb,,,,Z,,DEMO-D3-D,D,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-363
DEMO-367,Mobile-Based Clock Drawing Test for Detecting Early Signs of Dementia,Hongchao Jiang|Yanci Zhang|Zhiwei Zeng|Jun Ji|Yu Wang|Ying Chi|Chunyan Miao,"Dementia is one of the major causes of disability and dependency among older people. Early detection is the key for preserving the quality of life of the patients and reducing caring costs. The Clock Drawing Test (CDT) is commonly used by clinicians to screen for early signs of dementia. We build an automated CDT that runs on mobile platforms, enabling convenient and frequent self-monitoring and testing at minimal costs. Our system combines both a spatial-temporal approach and a purely image-based deep learning approach to analyze and evaluate the hand-drawn clocks based on established clinical criteria. Our system produces scores that are highly correlated with expert human raters.",https://www.aaai.org/AAAI21Papers/DEMO-367.JiangH.pdf,7-Feb,,,,Z,,DEMO-D4-C,C,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-367
DEMO-394,A Semantic Parsing and Reasoning-Based Approach to Knowledge Base Question Answering,Ibrahim Abdelaziz|Srinivas Ravishankar|Pavan Kapanipathi|Salim Roukos|Alexander Gray,"Knowledge Base Question Answering (KBQA) is a task where existing techniques have faced significant challenges, such as the need for complex question understanding, reasoning, and large training datasets. In this work, we demonstrate Deep Thinking Question Answering (DTQA), a semantic parsing and reasoning-based KBQA system. DTQA (1) integrates multiple, reusable modules that are trained specifically for their individual tasks (e.g. semantic parsing, entity linking, and relationship linking), eliminating the need for end-to-end KBQA training data; (2) leverages semantic parsing and a reasoner for improved question understanding. DTQA is a system of systems that achieves  state-of-the-art performance on two popular KBQA datasets.",https://www.aaai.org/AAAI21Papers/DEMO-394.AbdelazizI.pdf,7-Feb,,,,Z,,DEMO-D4-D,D,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-394
DEMO-395,RADAR-X: An Interactive Interface Pairing Contrastive Explanations with Revised Plan Suggestions,Valmeekam Karthik|Sarath Sreedharan|Sailik Sengupta|Subbarao Kambhampati,"Automated Planning techniques can be leveraged to build effective decision support systems that assist the human-in-the-loop. Such systems must provide intuitive explanations when the suggestions made by these systems seem inexplicable to the human. In this regard, we consider scenarios where the user questions the system's suggestion by providing alternatives (referred to as foils). In response, we empower existing decision support technologies to engage in an interactive explanatory dialogue with the user and provide contrastive explanations based on user-specified foils to reach a consensus on proposed decisions. To provide contrastive explanations, we adapt existing techniques in Explainable AI Planning (XAIP). Furthermore, we use this dialog to elicit the user's latent preferences and propose three modes of interaction that use these preferences to provide revised plan suggestions. Finally, we showcase a decision support system that provides all these capabilities.",https://www.aaai.org/AAAI21Papers/DEMO-395.KarthikV.pdf,7-Feb,,,,Z,,DEMO-D4-E,E,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-395
DEMO-398,Juice: A Julia Package for Logic and Probabilistic Circuits,Meihua Dang|Pasha Khosravi|Yitao Liang|Antonio Vergari|Guy Van den Broeck,"Juice is an open-source Julia package providing tools for logic and probabilistic reasoning and learning based on logic circuits (LCs) and probabilistic circuits (PCs). It provides a range of efficient algorithms for probabilistic inference queries, such as computing marginal probabilities (MAR), as well as many more advanced queries. Certain structural circuit properties are needed to achieve this tractability, which Juice helps validate. Additionally, it supports several parameter and structure learning algorithms proposed in the recent literature. By leveraging parallelism (on both CPU and GPU), Juice provides a fast implementation of circuit-based algorithms, which makes it suitable for tackling large-scale datasets and models.",https://www.aaai.org/AAAI21Papers/DEMO-398.DangM.pdf,7-Feb,,,,Z,,DEMO-D4-F,F,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-398
DEMO-404,Software for Agent-Based Network Simulation and Visualization,Patrick Shepherd|Isaac Batts|Judy Goldsmith|Emory Hufbauer|Mia Weaver|Angela Zhang,"We present a network software suite that can model contagions or opinion manipulation in social networks, that combines features from the standard packages and extends them to allow complex, interacting, dynamic topologies, and dynamic heterogeneous agent types, with individual interaction policies.  The framework allows for the easy implementation of new agent types, and provides flexible visualization tools to elucidate network behavior over time.",https://www.aaai.org/AAAI21Papers/DEMO-404.ShepherdP.pdf,6-Feb,,,,Z,,DEMO-D3-E,E,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-404
